sentence_id,sentence,concept,concept_start,concept_end,concept_start_end_list,cue,cue_start,cue_end,label
NCT02431559_exc_416_T56_T57,"Subjects with history or evidence upon physical examination of CNS disease, including primary brain tumor, seizures not controlled with standard medical therapy, any brain metastases, or, within six months prior to Day 1 of this study, history of cerebrovascular accident (CVA, stroke), transient ischemic attack (TIA) or subarachnoid hemorrhage.",controlled,120,130,,not,116,119,N
NCT02431559_exc_963_T89_T90,"History of serious ventricular arrhythmia (i.e., ventricular tachycardia or ventricular fibrillation) or cardiac arrhythmias requiring anti-arrhythmic medications, except for atrial fibrillation that is well controlled with anti-arrhythmic medication.",atrial fibrillation,175,194,,except,164,170,N
NCT02431559_exc_1378_T108_T109,"Grade 2 or higher peripheral ischemia, except for brief (< 24 hrs) episodes of ischemia managed non-surgically and without permanent deficit.",surgically,100,110,,non,96,99,N
NCT02431559_exc_1378_T110_T111,"Grade 2 or higher peripheral ischemia, except for brief (< 24 hrs) episodes of ischemia managed non-surgically and without permanent deficit.",permanent deficit,123,140,,without,115,122,N
NCT02431559_exc_1378_T107_T112,"Grade 2 or higher peripheral ischemia, except for brief (< 24 hrs) episodes of ischemia managed non-surgically and without permanent deficit.",ischemia,29,37,,except,39,45,N
NCT02431559_exc_1849_T136_T138,"Vitiligo, type I diabetes mellitus, residual hypothyroidism due to autoimmune condition only requiring hormone replacement, psoriasis not requiring systemic treatment, or conditions not expected to recur in the absence of an external trigger are permitted.",requiring systemic treatment,93,121,,not,134,137,N
NCT02431559_exc_2110_T147_T148,"Other malignancy within 2 years prior to Day 1 of the study, except for those treated with surgical intervention only.",surgical intervention,91,112,,except for,61,71,N
NCT02431559_exc_3392_T199_T200,Subjects must not donate blood while on study and for at least 90 days following the last MEDI4736 treatment.,donate blood,18,30,,not,14,17,N
NCT02431559_exc_3105_T191_T188,-Female subjects should refrain from breastfeeding throughout this period.,breastfeeding,37,50,,refrain from,24,36,N
NCT02431559_exc_2871_T181_T180,Lack of availability for immunological and clinical follow-up assessment.,immunological follow-up assessment,,,"[(25, 38), (25, 45)]",Lack of,0,7,N
NCT02431559_exc_2871_T189_T180,Lack of availability for immunological and clinical follow-up assessment.,clinical follow-up assessment,43,72,,Lack of,0,7,N
NCT02939872_inc_139_T12_T10,"No history of death, serious myocardial infarction, stroke, repeat revascularization, or major bleeding",death,14,19,,No,0,2,N
NCT02939872_inc_139_T19_T10,"No history of death, serious myocardial infarction, stroke, repeat revascularization, or major bleeding",bleeding,95,103,,No,0,2,N
NCT02939872_inc_139_T15_T10,"No history of death, serious myocardial infarction, stroke, repeat revascularization, or major bleeding",stroke,52,58,,No,0,2,N
NCT02939872_inc_139_T14_T10,"No history of death, serious myocardial infarction, stroke, repeat revascularization, or major bleeding",myocardial infarction,29,50,,No,0,2,N
NCT02939872_inc_139_T17_T10,"No history of death, serious myocardial infarction, stroke, repeat revascularization, or major bleeding",revascularization,67,84,,No,0,2,N
NCT03073603_exc_479_T26_T29,Use of oral steroids for no greater than 14 days given for a non-MS condition is not exclusionary.,oral steroids,7,20,,not,81,84,N
NCT03073603_exc_842_T48_T47,Cancers other than basal cell skin cancers within the last 5 years,basal cell skin cancers,19,42,,other than,8,18,N
NCT02965027_exc_138_T9_T10,Diagnosis of a primary or secondary HA disorder other than PTHA,PTHA,59,63,,other than,48,58,N
NCT02965027_exc_412_T29_T31,"Continuous HAs of any kind (i.e., persistent daily HAs with no HA-free period less than 8 hours between attacks)",HA-free period between attacks,,,"[(63, 77), (63, 78)]",no,66,68,N
NCT02965027_exc_1759_T98_T99,"Meets Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5) criteria for any Substance Use Disorder except caffeine-related disorders, or tobacco-related disorders.",caffeine-related disorders,128,154,,except,121,127,N
NCT02965027_exc_1759_T100_T99,"Meets Diagnostic and Statistical Manual of Mental Disorders, 5th Edition (DSM-5) criteria for any Substance Use Disorder except caffeine-related disorders, or tobacco-related disorders.",tobacco-related disorders,159,184,,except,121,127,N
NCT02965027_exc_2229_T122_T121,"Women of childbearing potential must not be pregnant, planning to become pregnant during the study period, or nursing.",pregnant,44,52,,not be,37,43,N
NCT02965027_exc_2229_T124_T121,"Women of childbearing potential must not be pregnant, planning to become pregnant during the study period, or nursing.",pregnant,44,52,,not be,37,43,N
NCT02003339_exc_0_T3_T4,Invasive hepatocellular carcinoma without any isolated tumor,isolated tumor,46,60,,without,34,41,N
NCT02003339_exc_107_T8_T13,"Thrombosis extending into the porta(thrombosis of one of left or right branch authorized), extra hepatic metastasis",thrombosis,36,46,,authorized,78,88,N
NCT02003339_exc_107_T6_T13,"Thrombosis extending into the porta(thrombosis of one of left or right branch authorized), extra hepatic metastasis",Thrombosis,0,10,,authorized,78,88,N
NCT02003339_exc_325_T23_T22,"No antiangiogenic concomitant treatment, 15 days before and 15 days after radioembolization, including Sorafenib",antiangiogenic treatment,,,"[(3, 17), (3, 12)]",No,0,2,N
NCT00235170_exc_301_T15_T14,Transmural myocardial infarction within the previous seven days and CK has not returned to normal;,normal,91,97,,has not returned,71,87,N
NCT01884337_exc_193_T27_T29,"Brain, spinal, ophthalmologic, or major surgery or trauma within the past 90 days other than the elective knee/hip surgery",elective knee surgery,,,"[(97, 110), (97, 104)]",other than,85,95,N
NCT01884337_exc_193_T28_T29,"Brain, spinal, ophthalmologic, or major surgery or trauma within the past 90 days other than the elective knee/hip surgery",elective hip surgery,,,"[(97, 105), (97, 108)]",other than,85,95,N
NCT02141061_exc_3_T17_T18,"Subject is a post-menopausal woman, defined as either; six (6) months or more (immediately prior to screening visit) without a menstrual period, or prior hysterectomy and/or oophorectomy",menstrual period,127,143,,without,117,124,N
NCT02141061_exc_3_T21_T18,"Subject is a post-menopausal woman, defined as either; six (6) months or more (immediately prior to screening visit) without a menstrual period, or prior hysterectomy and/or oophorectomy",oophorectomy,174,186,,without,117,124,N
NCT02141061_exc_3_T19_T18,"Subject is a post-menopausal woman, defined as either; six (6) months or more (immediately prior to screening visit) without a menstrual period, or prior hysterectomy and/or oophorectomy",hysterectomy,154,166,,without,117,124,N
NCT01807897_inc_189_T11_T10,No change in active cardiac medications for 4 weeks prior to randomization,change,3,9,,No,0,2,N
NCT00445029_inc_607_T12_T14,"No history of PPD allergic contact dermatitis, with a negative PPD patch test.",allergic contact dermatitis,18,45,,No,0,2,N
NCT01824537_exc_0_T3_T1,Volunteers must not have been vaccinated against HPV-Gardasil-9 (both partners),vaccinated,30,40,,not,16,19,N
NCT02242188_inc_158_T19_T17,No previous iron supplementation,iron supplementation,12,32,,No,0,2,N
NCT02242188_inc_191_T22_T20,No previous blood transfusion,blood transfusion,12,29,,No,0,2,N
NCT02952378_inc_0_T5_T4,"For healthy individuals: Healthy, without allergies and with the age of 18 years or above.",allergies,42,51,,without,34,41,N
NCT01401335_exc_0_T5_T6,Age less than 15 or greater than 25 and not participating in the day care center       ,participating in the day care center,44,80,,not,40,43,N
NCT02973035_exc_84_T4_T5,Planned cardiac surgery or planned major non-cardiac surgery within the study period.,cardiac,8,15,,non,41,44,N
NCT02973035_exc_317_T24_T23,A diagnosis of cancer (other than superficial squamous or basal cell skin cancer) in the past 3 years or current treatment for the active cancer.,superficial squamous skin cancer,,,"[(34, 54), (34, 45)]",other than,28,38,N
NCT02973035_exc_317_T25_T23,A diagnosis of cancer (other than superficial squamous or basal cell skin cancer) in the past 3 years or current treatment for the active cancer.,basal cell skin cancer,58,80,,other than,23,33,N
NCT00344318_exc_584_T39_T77,"Previous vaccination against diphtheria, tetanus, pertussis, polio, hepatitis B, Haemophilus influenzae type b, and/or S. pneumoniae with the exception of vaccines where the first dose can be given within the first two weeks of life according to the national recommendations",vaccines,155,163,,with the exception of,133,154,N
NCT00344318_exc_1085_T55_T58,"History of seizures (this criterion does not apply to subjects who have had a single, uncomplicated febrile convulsion in the past) or neurological disease.",febrile convulsion,100,118,,does not apply,36,50,N
NCT02579733_inc_134_T9_T8,Newly diagnosed or without steroid use during last 1 year,steroid,27,34,,without,19,26,N
NCT02867618_inc_194_T15_T17,"In addition, patients with NHL other than diffuse large B cell lymphomas (DLBCL) must have received at least 2 prior therapies.",diffuse large B cell lymphomas (DLBCL),42,80,,other than,31,41,N
NCT02867618_inc_322_T25_T27,Patients with DLBCL and HL will be eligible if there is no available standard therapy.,standard therapy,69,85,,no,56,58,N
NCT02867618_inc_502_T33_T34,Patients with NHL other than diffuse large B cell lymphomas (DLBCL) must have received at least 2 prior therapies.,diffuse large B cell lymphomas (DLBCL),29,67,,other than,18,28,N
NCT02867618_inc_617_T43_T45,Patients with DLBCL will be eligible if there is no available standard therapy.,standard therapy,62,78,,no,49,51,N
NCT03079141_exc_765_T47_T48,No hyperfluorescence on ICGA;,hyperfluorescence,3,20,,No,0,2,N
NCT00426751_inc_0_T4_T5,"Women must be postmenopausal (i.e.12 months without menstrual period), or surgically sterile, i.e. women of child bearing potential are not allowed to be included into the study.",menstrual period,52,68,,without,44,51,N
NCT00426751_inc_0_T8_T11,"Women must be postmenopausal (i.e.12 months without menstrual period), or surgically sterile, i.e. women of child bearing potential are not allowed to be included into the study.",women,99,104,,not,136,139,N
NCT00426751_inc_0_T9_T11,"Women must be postmenopausal (i.e.12 months without menstrual period), or surgically sterile, i.e. women of child bearing potential are not allowed to be included into the study.",child bearing potential,108,131,,not,136,139,N
NCT03491059_exc_0_T1_T3,not a regular user of e-cigarettes,regular user,6,18,,not,0,3,N
NCT02678962_exc_0_T5_T4,"Preexisting ocular diseases or conditions other than age related cataracts, have contraindications for cataract surgery;",cataracts,65,74,,other than,42,52,N
NCT02609425_exc_0_T3_T2,Any patient with esophageal cancer who is not deemed a surgical candidate or who is not deemed a candidate for the Ivor Lewis technique of esophagectomy (with intrathoracic anastomosis).,candidate,64,73,,not,42,45,N
NCT02609425_exc_0_T5_T4,Any patient with esophageal cancer who is not deemed a surgical candidate or who is not deemed a candidate for the Ivor Lewis technique of esophagectomy (with intrathoracic anastomosis).,candidate,64,73,,not,42,45,N
NCT02867618_exc_3_T15_T16,Prior Therapy Exposure to chemotherapy or radiotherapy within 2 weeks prior to entering the study or those who have not recovered from adverse events due to agents administered more than 2 weeks earlier.,recovered,120,129,,not,116,119,N
NCT02867618_exc_207_T22_T23,Systemic steroids that have not been stabilized (≥ 5 days) to the equivalent of ≤10 mg/day prednisone prior to the start of the study drugs.,stabilized,37,47,,not,28,31,N
NCT01774019_exc_53_T7_T6,"Biliary strictures caused by malignancies other than pancreatic cancer, distal CBD cholangiocarcinoma and other periampullary cancers",pancreatic cancer,53,70,,other than,42,52,N
NCT01774019_exc_53_T8_T6,"Biliary strictures caused by malignancies other than pancreatic cancer, distal CBD cholangiocarcinoma and other periampullary cancers",distal CBD cholangiocarcinoma,72,101,,other than,42,52,N
NCT01774019_exc_53_T9_T6,"Biliary strictures caused by malignancies other than pancreatic cancer, distal CBD cholangiocarcinoma and other periampullary cancers",other periampullary cancers,42,69,,other than,42,52,N
NCT01774019_exc_187_T12_T14,"Surgically altered biliary tract anatomy, not including prior cholecystectomy",cholecystectomy,62,77,,not,42,45,N
NCT02637076_exc_0_T5_T6,"use of any sedative hypnotics, tranquilizers, anticonvulsants, antihistamines (except non-sedating), benzodiazepines, clonidine or any medication known to affect dopamine at start of baseline period",non-sedating,86,98,,except,79,85,N
NCT02531971_inc_890_T14_T24,"Subjects have no history of the following: ongoing acute or intermittent pain, postoperative pain, respiratory compromise, acute or severe asthma, or constipation (less than 1 bowel movement every 2 days)",pain,73,77,,no,14,16,N
NCT02531971_inc_2315_T57_T56,"Have a normal ECG; must not have the following to be acceptable: pathologic Q wave abnormalities, significant ST-T wave changes, left ventricular hypertrophy, right bundle branch block, left bundle branch block.",pathologic Q wave abnormalities,65,96,,not,24,27,N
NCT02531971_inc_890_T18_T24,"Subjects have no history of the following: ongoing acute or intermittent pain, postoperative pain, respiratory compromise, acute or severe asthma, or constipation (less than 1 bowel movement every 2 days)",pain,73,77,,no,14,16,N
NCT02531971_inc_890_T20_T24,"Subjects have no history of the following: ongoing acute or intermittent pain, postoperative pain, respiratory compromise, acute or severe asthma, or constipation (less than 1 bowel movement every 2 days)",respiratory compromise,99,121,,no,14,16,N
NCT02531971_inc_890_T21_T24,"Subjects have no history of the following: ongoing acute or intermittent pain, postoperative pain, respiratory compromise, acute or severe asthma, or constipation (less than 1 bowel movement every 2 days)",asthma,139,145,,no,14,16,N
NCT02531971_inc_890_T26_T24,"Subjects have no history of the following: ongoing acute or intermittent pain, postoperative pain, respiratory compromise, acute or severe asthma, or constipation (less than 1 bowel movement every 2 days)",constipation,150,162,,no,14,16,N
NCT02531971_inc_2315_T58_T56,"Have a normal ECG; must not have the following to be acceptable: pathologic Q wave abnormalities, significant ST-T wave changes, left ventricular hypertrophy, right bundle branch block, left bundle branch block.",ST-T wave changes,110,127,,not,24,27,N
NCT02531971_inc_2315_T59_T56,"Have a normal ECG; must not have the following to be acceptable: pathologic Q wave abnormalities, significant ST-T wave changes, left ventricular hypertrophy, right bundle branch block, left bundle branch block.",left ventricular hypertrophy,129,157,,not,24,27,N
NCT02531971_inc_2315_T60_T56,"Have a normal ECG; must not have the following to be acceptable: pathologic Q wave abnormalities, significant ST-T wave changes, left ventricular hypertrophy, right bundle branch block, left bundle branch block.",right bundle branch block,159,184,,not,24,27,N
NCT02531971_inc_2315_T61_T56,"Have a normal ECG; must not have the following to be acceptable: pathologic Q wave abnormalities, significant ST-T wave changes, left ventricular hypertrophy, right bundle branch block, left bundle branch block.",left bundle branch block,129,153,,not,24,27,N
NCT02281643_inc_0_T7_T11,M. perstans mg-positive status Good general health without any clinical condition requiring long-term medication.,clinical condition requiring long-term medication,63,112,,without,51,58,N
NCT02467686_exc_0_T2_T1,Women did not have breast cancer,breast cancer,19,32,,not,10,13,N
NCT02467686_exc_33_T3_T5,do not use tamoxifen or aromatase inhibitor,tamoxifen,11,20,,not,3,6,N
NCT02467686_exc_33_T4_T5,do not use tamoxifen or aromatase inhibitor,aromatase inhibitor,24,43,,not,3,6,N
NCT02467686_exc_77_T10_T9,not in menopause and not have hot flashes,hot flashes,30,41,,not,0,3,N
NCT02467686_exc_77_T8_T7,not in menopause and not have hot flashes,menopause,7,16,,not,0,3,N
NCT02804646_exc_0_T37_T36,"1) pregnancy, breast-feeding women, or female patients of childbearing potential but did not take contraceptive measures;2) existing severe acute infection and is not controlled; or purulent and chronic infection, delayed healing wounds; 3) the original severe heart disease, including congestive heart failure, uncontrolled high-risk arrhythmias, unstable angina, myocardial infarction, severe heart valve disease and resistant hypertension; 4) suffering from neurological and psychiatric diseases or mental disorders is not easy to control, poor compliance, and can not be described with treatment responders; primary brain or central nervous metastasis disease has not been controlled, with significant cranial hypertension or neuropsychiatric symptoms; 5) have bleeding tendencies; 6) other researchers believe that patients should not participate in the present trial.",controlled,167,177,,not,89,92,N
NCT00989261_exc_1386_T64_T68,"Use of concomitant drugs that prolong QT/QTc interval and/or are CYP3A4 inhibitors are prohibited with the exception of antibiotics, antifungals, and other antimicrobials that are used as standard of care to prevent or treat infections and other such drugs that are considered absolutely essential for the care of the patient.",antibiotics,120,131,,with the exception of,98,119,N
NCT00989261_exc_1386_T65_T68,"Use of concomitant drugs that prolong QT/QTc interval and/or are CYP3A4 inhibitors are prohibited with the exception of antibiotics, antifungals, and other antimicrobials that are used as standard of care to prevent or treat infections and other such drugs that are considered absolutely essential for the care of the patient.",antifungals,133,144,,with the exception of,98,119,N
NCT00989261_exc_1386_T66_T68,"Use of concomitant drugs that prolong QT/QTc interval and/or are CYP3A4 inhibitors are prohibited with the exception of antibiotics, antifungals, and other antimicrobials that are used as standard of care to prevent or treat infections and other such drugs that are considered absolutely essential for the care of the patient.",antimicrobials,156,170,,with the exception of,98,119,N
NCT00989261_exc_2113_T99_T102,"History of cancer, except Stage 1 cervix or nonmelanotic skin cancer, with the possible exception of patients in complete remission       ",skin cancer,57,68,,except,19,25,N
NCT02502734_inc_183_T11_T12,Subjects must be pre-adolescent without any signs of puberty (Tanner Stage 1).,signs of puberty,44,60,,without any,32,43,N
NCT02502734_inc_698_T31_T34,There should be no Short acting beta-agonist (SABA) use within 4 hours of this measurement.,Short acting beta-agonist (SABA),19,51,,no,16,18,N
NCT02502734_inc_1172_T46_T47,There must be no ICS use within 2 weeks of Visit 1 (Screening).,ICS,17,20,,no,14,16,N
NCT02590822_inc_367_T22_T21,"Poorly managed diet controlled diabetes (with HbA1c > 6.5% , not currently taking any glucose lowering therapy, meeting BMI inclusion range)",glucose lowering therapy,86,110,,not,61,64,N
NCT02344888_exc_74_T8_T7,Presence of any infertility factor other than anovulatory PCOS.,anovulatory PCOS,46,62,,other than,35,45,N
NCT02705222_inc_0_T10_T9,"Perimenopausal women complaining of abnormal uterine bleeding (menorrhagia, metrorrhagia, polymenorrhoea or polymenorrhagia) without local gynecological cause.",local gynecological cause,133,158,,without,125,132,N
NCT00426751_exc_0_T57_T56,Subjects not able to give informed consent,give informed consent,21,42,,not,9,12,N
NCT02596555_exc_989_T21_T24,"Need for long-term treatment with a low molecular weight heparin, vitamin K antagonists or NOAC, for an indication other than the index PE episode, or for antiplatelet agents except acetylsalicylic acid at a dosage =100 mg/day;",PE episode,136,146,,other,115,120,N
NCT02596555_exc_989_T27_T23,"Need for long-term treatment with a low molecular weight heparin, vitamin K antagonists or NOAC, for an indication other than the index PE episode, or for antiplatelet agents except acetylsalicylic acid at a dosage =100 mg/day;",acetylsalicylic acid,182,202,,except,175,181,N
NCT02788045_inc_0_T1_T2,Are negative for human immunodeficiency virus (HIV) infection at screening,human immunodeficiency virus (HIV),17,51,,negative,4,12,N
NCT03124329_inc_212_T9_T10,No prior surgical treatment in the sites planned for therapy,surgical treatment,9,27,,No,0,2,N
NCT03124329_inc_314_T14_T15,Absence of cervical restorations extending to the CEJ,cervical restorations extending to the CEJ,11,53,,Absence,0,7,N
NCT02765035_inc_339_T12_T11,Person was never fitted with microprocessor controlled prosthetic knee joint.,prosthetic knee joint,55,76,,never,11,16,N
NCT02862314_exc_41_T4_T3,"patients without health insurance,",health insurance,17,33,,without,9,16,N
NCT01491763_inc_236_T10_T11,"Patients without functional impairment of organs: liver function: total bilirubin, AST, ALT, alfa-GT and alkaline phosphatase less than 3 times the upper limit of normal laboratory renal function: serum creatinine < 2 mg/dL or clearance creatinine > 30 ml/min (except renal function attributable to LAL) cardiac function (Appendix B) normal: ventricular EF > 50%, absence of severe chronic respiratory disease.",functional impairment of organs,17,48,,without,9,16,N
NCT01491763_inc_236_T31_T30,"Patients without functional impairment of organs: liver function: total bilirubin, AST, ALT, alfa-GT and alkaline phosphatase less than 3 times the upper limit of normal laboratory renal function: serum creatinine < 2 mg/dL or clearance creatinine > 30 ml/min (except renal function attributable to LAL) cardiac function (Appendix B) normal: ventricular EF > 50%, absence of severe chronic respiratory disease.",severe chronic respiratory disease,375,409,,absence of,364,374,N
NCT01650792_exc_0_T3_T4,Patients with a history of an untreated malignancy (except local skin cancers),local skin cancers,59,77,,except,52,58,N
NCT03339284_exc_61_T5_T6,no co-operation or inadequate finnish language skills,co-operation,3,15,,no,0,2,N
NCT03339284_exc_61_T7_T6,no co-operation or inadequate finnish language skills,inadequate finnish language skills,19,53,,no,0,2,N
NCT02464813_inc_143_T11_T12,No contraindication for Pregabalin use,contraindication,3,19,,No,0,2,N
NCT01032109_inc_72_T6_T4,no previous treatment,treatment,12,21,,no,0,2,N
NCT02596555_inc_264_T10_T11,"Absence of hemodynamic collapse, or decompensation, at presentation; Hemodynamic collapse or decompensation",hemodynamic collapse,11,31,,Absence,0,7,N
NCT02596555_inc_264_T12_T11,"Absence of hemodynamic collapse, or decompensation, at presentation; Hemodynamic collapse or decompensation",hemodynamic decompensation,,,"[(11, 22), (11, 25)]",Absence,2,9,N
NCT00730301_exc_45_T6_T8,Pleural or interstitial disease that precludes surgery.,surgery,47,54,,precludes,37,46,N
NCT02334631_exc_0_T7_T6,"Patients with a contraindication to VCE (small bowel strictures, oropharyngeal dysphagia, pregnancy, patients who are not surgical candidates)",surgical candidates,122,141,,not,118,121,N
NCT02334631_exc_0_T3_T6,"Patients with a contraindication to VCE (small bowel strictures, oropharyngeal dysphagia, pregnancy, patients who are not surgical candidates)",small bowel strictures,41,63,,not,118,121,N
NCT02334631_exc_0_T4_T6,"Patients with a contraindication to VCE (small bowel strictures, oropharyngeal dysphagia, pregnancy, patients who are not surgical candidates)",oropharyngeal dysphagia,65,88,,not,118,121,N
NCT02334631_exc_0_T5_T6,"Patients with a contraindication to VCE (small bowel strictures, oropharyngeal dysphagia, pregnancy, patients who are not surgical candidates)",pregnancy,90,99,,not,118,121,N
NCT02519777_exc_860_T49_T48,"Other CNS conditions: non-opportunistic primary or metastatic brain tumors, uncontrolled seizure disorder, progressive multiple sclerosis, stroke with neurological sequelae, or dementia due to causes other than HIV (eg, Alzheimer's disease)",HIV,211,214,,other than,200,210,N
NCT01217671_inc_45_T3_T6,If a report of past CT scan is not available at site documenting then a CT scan is to be performed at screening,CT scan,20,27,,not available,31,44,N
NCT01217671_inc_1428_T62_T64,No significant abnormalities in ECG per investigator judgment.,abnormalities in ECG,15,35,,No,0,2,N
NCT01217671_inc_1546_T72_T73,"AAT deficient patients who are either naïve (not receiving IV augmentation therapy) or AAT deficient patients (receiving IV augmentation therapy), if they have been stable on regular therapy for at least 3 months prior to the screening visit and are willing to continue the same regime throughout this trial.",IV augmentation therapy,59,82,,not receiving,45,58,N
NCT01217671_inc_2124_T82_T83,"Non-pregnant, non-lactating female patients, whose screening pregnancy test is negative and who are using contraceptive methods deemed reliable by the investigator, or who are at least 2 years post-menopausal or surgically sterilized.",pregnant,4,12,,Non,0,3,N
NCT01217671_inc_2124_T84_T85,"Non-pregnant, non-lactating female patients, whose screening pregnancy test is negative and who are using contraceptive methods deemed reliable by the investigator, or who are at least 2 years post-menopausal or surgically sterilized.",lactating,18,27,,non,14,17,N
NCT02612181_exc_201_T21_T20,High-grade block in the absence of a functioning pacemaker.,pacemaker,49,58,,in the absence of,17,34,N
NCT00094861_inc_495_T39_T38,Hemoglobin (hgb) greater than or equal to 10 g/dL without transfusional support or growth factor use in the 4 weeks before study randomization,transfusional support,58,79,,without,50,57,N
NCT00094861_inc_495_T40_T38,Hemoglobin (hgb) greater than or equal to 10 g/dL without transfusional support or growth factor use in the 4 weeks before study randomization,growth factor use,83,100,,without,50,57,N
NCT00094861_inc_639_T48_T47,Absolute neutrophil count (ANC) greater than or equal to 1.5 x 10^9/L without growth factor use in the 2 weeks before study randomization,growth factor use,78,95,,without,70,77,N
NCT01214096_exc_369_T21_T22,Ischemic heart failure without the revascularization or undergone the revascularization within last 6 months;,revascularization,35,52,,without,23,30,N
NCT01214096_exc_369_T23_T22,Ischemic heart failure without the revascularization or undergone the revascularization within last 6 months;,revascularization,35,52,,without,23,30,N
NCT01214096_exc_1286_T73_T74,Childbearing-aged female subject who is unmarried or dose not bear child;,bear child,5,15,,not,58,61,N
NCT02332291_exc_0_T4_T3,"Current or past diagnoses of other Axis I psychiatric disorders, except for generalized anxiety disorder (GAD) symptoms occurring during a depressive episode",generalized anxiety disorder (GAD),76,110,,except for,65,75,N
NCT02332291_exc_792_T47_T53,"Occasional use of benzodiazepines or non-benzodiazepine sedatives (such as zolpidem, eszopiclone, or zaleplon) during this period is allowable.",benzodiazepines sedatives,,,"[(18, 33), (18, 27)]",is allowable,140,152,N
NCT02332291_exc_792_T48_T53,"Occasional use of benzodiazepines or non-benzodiazepine sedatives (such as zolpidem, eszopiclone, or zaleplon) during this period is allowable.",non-benzodiazepine sedatives,37,65,,is allowable,120,132,N
NCT03299517_inc_130_T14_T12,No signs of poor peripheral perfusion,poor peripheral perfusion,12,37,,No,0,2,N
NCT03299517_inc_168_T15_T16,Absence of dyspnea,dyspnea,11,18,,Absence of,0,10,N
NCT03299517_inc_187_T18_T17,Absence of severe angina,angina,18,24,,Absence of,0,10,N
NCT03260881_inc_64_T7_T8,"Adult patients with T2DM who are indicated to receive liraglutide, not as first-line therapy, in addition to diet and exercise to improve glycemic control",first-line therapy,74,92,,not,67,70,N
NCT01064752_inc_143_T10_T14,Off antiretroviral therapy (ART) for > 6 weeks before the study and no plans to begin treatment for the study duration.,plans to begin,71,85,,no,68,70,N
NCT03338296_inc_435_T23_T22,Participants and their families not planning to move away from the area for the duration of the study,planning to move away,36,57,,not,32,35,N
NCT03171987_inc_538_T15_T16,A primary complaint of pain in the area between the 12th rib and buttock crease without leg pain,leg pain,88,96,,without,80,87,N
NCT02406495_inc_542_T22_T23,Has clear corneas and no active ocular disease,ocular disease,32,46,,no,22,24,N
